x,y,weight
0,1,2.5342681584794544
0,2,3.115671300599784
0,3,2.670517627977473
0,4,2.589978765493461
0,5,3.052602287441573
0,6,2.7585070001550793
0,7,2.3696168571411267
0,8,2.9218320562583777
0,9,2.8235936166749642
0,10,3.307731756855606
0,11,2.6379879846798193
0,12,2.412297588256008
0,13,2.175297002280372
0,14,2.5830583226488866
0,15,2.439405907014086
0,16,2.476836109393579
0,17,2.1070383452170045
0,18,2.5244641583828322
0,19,2.2715250343749265
0,20,2.159821044794924
0,21,2.4269391382489562
0,22,2.496293281416138
0,23,1.49136647682535
0,24,2.931882392111879
0,25,1.23543310268815
0,26,3.5366750121357278
0,27,2.5716296268252634
0,28,2.5349721359812474
0,29,3.012957456094332
0,30,2.3568848833260834
0,31,2.1304464361150206
0,32,2.8653907453534266
0,33,2.4538465911688796
0,34,2.3022966930416793
0,35,2.961310867232166
0,36,3.173607420246915
0,37,2.8972968124621
0,38,2.3696168571411267
0,39,3.5708080185051863
0,40,2.810521535107613
0,41,3.0111922305697636
0,42,2.8412931937743657
0,43,2.0544605291370974
0,44,2.942199359082812
0,45,2.8273600994704413
0,46,2.5870069951043018
0,47,2.7274863064976227
0,48,1.9357745588821214
0,49,1.5124198860231832
0,50,3.4429746469953013
0,51,2.804049020601994
0,52,2.584783948616357
0,53,2.503546259721153
0,54,2.755771020336203
0,55,3.306115464278104
0,56,3.2423039515331507
0,57,2.6900622240504415
0,58,1.9762957562877617
0,59,2.5491567709732053
0,60,3.1653429103970208
0,61,3.048932558552611
0,62,2.1076812253420076
0,63,1.757673689692398
0,64,3.030783240046933
0,65,2.4669186727362327
0,66,2.788048679255553
0,67,2.9496343375703304
0,68,2.4239936280191987
0,69,2.857660171238571
0,70,2.998051437008705
0,71,2.7976181302717045
0,72,2.1012709469810886
0,73,2.877660837945241
0,74,2.2032057903974493
0,75,3.084523503655314
0,76,2.3668352141792504
0,77,2.52544024435589
0,78,2.479630708324594
0,79,1.9214373957357154
0,80,3.2924283387157196
0,81,2.5466598907746167
0,82,2.639811139241335
0,83,3.18673410037834
0,84,3.0599823947391958
0,85,2.6845947418683096
0,86,1.0450793741969306
0,87,3.0231684216164787
0,88,3.2361689629656336
0,89,2.886963230607554
0,90,2.8349358932788995
0,91,2.562579791305346
0,92,2.8383214233852083
0,93,1.6990058416035954
0,94,2.83240424635712
0,95,2.6253181319387693
0,96,2.8062018739630954
0,97,2.95917769561723
0,98,2.772300322287414
0,99,2.1914823267013883
0,100,2.1076812253420076
0,101,2.772300322287416
0,102,2.8745791714078326
0,103,2.794418127541034
0,104,2.545828980880531
0,105,2.940718973912377
0,106,3.015530632168362
0,107,2.8741946299687537
0,108,2.8349358932788995
0,109,2.6145845762956608
0,110,2.669442936847707
0,111,0.7674476375986519
0,112,2.6074923479861685
0,113,2.2490521785228665
0,114,2.699979660707788
0,115,1.7821397418468035
0,116,2.6884188383067116
0,117,2.2639778287395433
0,118,2.931556606150373
0,119,2.596947434809554
0,120,2.8987142471430722
0,121,2.7651828545185513
0,122,2.826521876454054
0,123,2.714621210700736
0,124,2.7976181302717045
0,125,2.1173743545476658
0,126,2.38082145615399
0,127,2.0463633189044774
0,128,2.7415286636206613
0,129,2.7754302152963426
0,130,2.67699014248309
0,131,2.286792506505714
0,132,2.3696168571411267
0,133,2.6619522651185488
0,134,2.7794688117660282
0,135,2.7116757004709786
0,136,3.169466627580883
0,137,2.637987984679821
0,138,2.4007367658549317
0,139,2.6973990141142963
0,140,2.682053444439637
0,141,2.5293541436770255
